Algoritmo,n,TiempoReal,TiempoCPU,TiempoES,CPUWall
bubble_sort,500000,580.4200,575.2000,5.2200,99.10
bubble_sort01,500000,575.1500,570.1000,5.0500,99.12
bubble_sort02,500000,568.3000,563.0000,5.3000,99.06
heap_sort,500000,0.3124,0.3100,0.0024,99.88
insertion_sort,500000,193.2142,188.1941,5.0201,98.58
merge_sort,500000,0.2584,0.2550,0.0034,64.98
quick_sort,500000,0.1040,0.1030,0.0010,99.74
selection_sort,500000,245.1500,240.1000,5.0500,97.94
shell_sort,500000,0.7522,0.7500,0.0022,98.02
tree_sort,500000,0.0029,0.0025,0.0004,100.19
