Algoritmo,n,TiempoReal,TiempoCPU,TiempoES,CPUWall
Burbuja,1000,0.0011720657,0.0010320000,0.0001450000,100.4209887714
Burbuja,2000,0.0039861202,0.0039900000,0.0000000000,100.0973321371
Burbuja,3000,0.0087389946,0.0083010000,0.0004400000,100.0229477383
Burbuja,4000,0.0156478882,0.0156420000,0.0000000000,99.9623707460
Burbuja,5000,0.0232079029,0.0149050000,0.0083000000,99.9874917250
Burbuja,8000,0.0615558624,0.0615580000,0.0000000000,100.0034725746
Burbuja,10000,0.0979988575,0.0979030000,0.0000000000,99.9021850860
Burbuja,50000,3.8915040493,3.8904510000,0.0000000000,99.9729397866
Burbuja,100000,16.8410217762,16.8302020000,0.0050390000,99.9656744331
Burbuja,150000,38.7817659378,38.7705260000,0.0000000000,99.9710174678
Burbuja,200000,67.2421479225,67.2252990000,0.0111770000,99.9915649296
Burbuja,300000,157.8921060562,157.8484290000,0.0038450000,99.9747726107
Burbuja,400000,280.5983560085,280.4762720000,0.0330940000,99.9682856273
Burbuja,500000,440.8321549892,440.5603730000,0.1149850000,99.9644315898
Burbuja,600000,631.4167671204,631.0771880000,0.1328760000,99.9672635997
Burbuja,700000,859.1241030693,858.7260940000,0.1291950000,99.9687106824
Burbuja,800000,1103.0622639656,1102.7460200000,0.0686370000,99.9775527662
Burbuja,900000,1417.3889379501,1417.0309800000,0.0010000000,99.9748158081
Burbuja,1000000,1746.8610000610,1746.2546430000,0.0009650000,99.9653440050
Burbuja,1500000,4022.7151551247,4021.3733390000,0.2772350000,99.9735357567
Burbuja,2000000,6936.6760640144,6934.1452230000,0.6475030000,99.9728495608
Burbuja_1,1000,0.0020370483,0.0020380000,0.0000000000,100.0467176030
Burbuja_1,2000,0.0062210560,0.0062210000,0.0000000000,99.9991000805
Burbuja_1,3000,0.0145590305,0.0139850000,0.0005700000,99.9723159257
Burbuja_1,4000,0.0255720615,0.0255620000,0.0000000000,99.9606541746
Burbuja_1,5000,0.0409889221,0.0407720000,0.0001890000,99.9318788646
Burbuja_1,8000,0.0997080803,0.0994530000,0.0001840000,99.9287116034
Burbuja_1,10000,0.1542079449,0.1531110000,0.0010030000,99.9390790986
Burbuja_1,50000,4.7650549412,4.6616810000,0.1007970000,99.9459200112
Burbuja_1,100000,22.9456441402,22.9781420000,0.0000000000,100.1416297558
Burbuja_1,150000,52.7000789642,52.6931420000,0.0000000000,99.9868368997
Burbuja_1,200000,95.3761889935,95.3827050000,0.0000000000,100.0068319007
Burbuja_1,300000,214.0131771564,213.8718680000,0.0453920000,99.9551816586
Burbuja_1,400000,379.7529919147,379.6045080000,0.0258140000,99.9676974461
Burbuja_1,500000,593.4937410355,593.3310200000,0.0030140000,99.9730903589
Burbuja_1,600000,850.9894099236,850.8110780000,0.0618720000,99.9863147623
Burbuja_1,700000,1162.7179799080,1162.3966330000,0.0174130000,99.9738600492
Burbuja_1,800000,1521.4818120003,1520.8891470000,0.1438070000,99.9704986286
Burbuja_1,900000,1881.0790290833,1879.3279530000,0.6193610000,99.9398369199
Burbuja_1,1000000,2374.4031610489,2373.7547430000,0.0470170000,99.9746714855
Burbuja_1,1500000,5258.8931410313,5256.9877690000,0.6079630000,99.9753292376
Burbuja_1,2000000,9448.4820659161,9443.0575180000,2.5779150000,99.9698720610
BurbujaOpt2,1000,0.0012309551,0.0012350000,0.0000000000,100.3285965524
BurbujaOpt2,2000,0.0038809776,0.0036050000,0.0002710000,99.8717428677
BurbujaOpt2,3000,0.0093400478,0.0093430000,0.0000000000,100.0316075865
BurbujaOpt2,4000,0.0142509937,0.0142530000,0.0000000000,100.0140781155
BurbujaOpt2,5000,0.0245180130,0.0245100000,0.0000000000,99.9673179042
BurbujaOpt2,8000,0.0557401180,0.0557400000,0.0000000000,99.9997882553
BurbujaOpt2,10000,0.0981619358,0.0981560000,0.0000000000,99.9939530468
BurbujaOpt2,50000,3.8343868256,3.8300880000,0.0000000000,99.8878875357
BurbujaOpt2,100000,17.2151131630,17.1953850000,0.0136780000,99.9648555142
BurbujaOpt2,150000,36.3278641701,36.2688510000,0.0548310000,99.9884877072
BurbujaOpt2,200000,70.3973200321,70.3424980000,0.0317620000,99.9672430256
BurbujaOpt2,300000,162.0859148502,162.0599140000,0.0090120000,99.9895186141
BurbujaOpt2,400000,286.0546100140,286.0022630000,0.0165680000,99.9874922435
BurbujaOpt2,500000,452.0199151039,451.8174930000,0.0830130000,99.9735832206
BurbujaOpt2,600000,651.4901368618,650.9817340000,0.2721420000,99.9637353126
BurbujaOpt2,700000,887.2465188503,886.5461270000,0.3437690000,99.9598056636
BurbujaOpt2,800000,1157.9312300682,1157.0404900000,0.4670770000,99.9634120700
BurbujaOpt2,900000,1425.1625390053,1424.1775830000,0.5775700000,99.9714147689
BurbujaOpt2,1000000,1794.6542170048,1793.5317180000,0.5407500000,99.9675843402
BurbujaOpt2,1500000,4038.5698227882,4037.1326330000,0.2926950000,99.9716608889
BurbujaOpt2,2000000,7163.9375839233,7160.2686600000,1.3869800000,99.9681467922
HeapSort,1000,0.0000908375,0.0000950000,0.0000000000,104.5823832021
HeapSort,2000,0.0001921654,0.0001960000,0.0000000000,101.9954818859
HeapSort,3000,0.0005002022,0.0005040000,0.0000000000,100.7592571973
HeapSort,4000,0.0005199909,0.0005230000,0.0000000000,100.5786791380
HeapSort,5000,0.0005331039,0.0003570000,0.0001780000,100.3556636852
HeapSort,8000,0.0010919571,0.0010950000,0.0000000000,100.2786655022
HeapSort,10000,0.0013902187,0.0013920000,0.0000000000,100.1281284171
HeapSort,50000,0.0072340965,0.0069050000,0.0003330000,100.0539593699
HeapSort,100000,0.0158779621,0.0146730000,0.0012070000,100.0128346923
HeapSort,150000,0.0264971256,0.0236010000,0.0029010000,100.0183958610
HeapSort,200000,0.0364680290,0.0343730000,0.0020940000,99.9971782895
HeapSort,300000,0.0549001694,0.0523220000,0.0025820000,100.0069774419
HeapSort,400000,0.0703008175,0.0489270000,0.0213720000,99.9974146963
HeapSort,500000,0.0867750645,0.0709190000,0.0158590000,100.0033829207
HeapSort,600000,0.1223011017,0.1090720000,0.0132230000,99.9950109325
HeapSort,700000,0.1247119904,0.1122800000,0.0124290000,99.9976021901
HeapSort,800000,0.1505022049,0.1408950000,0.0095840000,99.9845816910
HeapSort,900000,0.1644589901,0.1168610000,0.0475890000,99.9945335326
HeapSort,1000000,0.1878440380,0.1878260000,0.0000000000,99.9903973478
HeapSort,1500000,0.2834110260,0.2548700000,0.0285130000,99.9901111819
HeapSort,2000000,0.3983550072,0.3329470000,0.0654000000,99.9979899408
InsertionSort,1000,0.0003781319,0.0003800000,0.0000000000,100.4940428752
InsertionSort,2000,0.0018200874,0.0018240000,0.0000000000,100.2149658894
InsertionSort,3000,0.0037539005,0.0037560000,0.0000000000,100.0559277485
InsertionSort,4000,0.0060040951,0.0043120000,0.0016940000,100.0317270540
InsertionSort,5000,0.0111091137,0.0100330000,0.0010670000,99.9179620131
InsertionSort,8000,0.0256578922,0.0256610000,0.0000000000,100.0121123466
InsertionSort,10000,0.0382089615,0.0382120000,0.0000000000,100.0079523574
InsertionSort,50000,0.9123439789,0.8693680000,0.0415750000,99.8464418121
InsertionSort,100000,3.6055991650,3.5367850000,0.0684650000,99.9903160350
InsertionSort,150000,8.5904550552,8.5426200000,0.0452560000,99.9699776645
InsertionSort,200000,14.5167288780,14.5098020000,0.0086480000,100.0118561281
InsertionSort,300000,32.0757119656,24.5481700000,7.5423000000,100.0460099980
InsertionSort,400000,58.1535649300,58.0382160000,0.0865640000,99.9505018652
